UUID;net_verhoogd;hoek;larven;metamorf;adult;post_metamorf;totaal
62f55315-1916-41ba-a05d-ce5c839d8e94;TRUE;00°;0;0;0;0;0
be7d7432-259e-4ddc-ad2e-9a13f05b36d9;TRUE;00°;0;0;0;0;0
35ee06af-175d-4439-9e38-37c79436eefc;TRUE;00°;0;0;0;0;0
a8adcc93-28b7-4736-b225-894d70bc0b1f;TRUE;00°;0;8;0;8;8
1e445768-bb1c-4a2c-b275-6344cc59fe43;TRUE;45°;0;2;0;2;2
5cc61c19-78ba-4b74-89c9-127f0734b557;TRUE;45°;0;1;0;1;1
5504e3d7-fa02-4971-89fa-712bbe839175;TRUE;45°;0;6;0;6;6
f093d575-8fcf-4981-8fe0-99c60d264996;TRUE;00°;0;0;0;0;0
1f539632-09c8-4e34-a654-2556cc540314;TRUE;45°;0;1;0;1;1
27f2826d-caa4-43de-abcd-10f80227caf7;TRUE;00°;0;0;0;0;0
9019cc6a-9deb-4654-99f4-07dd6b342649;TRUE;00°;0;0;0;0;0
6b08da2b-39b8-40e2-b729-3ac8a557fa47;TRUE;00°;0;0;0;0;0
f33ccbbd-5ff3-4c80-88f1-8592f22c655a;TRUE;00°;0;0;0;0;0
1b4fb706-fc9b-41b5-b168-d46aba610231;TRUE;00°;0;0;1;1;1
5bc742e3-13fb-4622-a4e3-684b0ea9667a;TRUE;00°;0;0;1;1;1
44a74713-1397-47eb-8b9a-29717df6bdef;TRUE;00°;0;0;0;0;0
f993d219-fa3d-4300-acc0-fb459b38f079;TRUE;00°;0;0;0;0;0
5ebb7973-d420-4496-83f7-e8b6ec72ed20;TRUE;00°;0;0;1;1;1
786a960d-5c53-4397-8499-f6d4b9319de6;TRUE;45°;0;10;0;10;10
0e0ea1c7-e6ef-47ec-9a30-4fcfeaa94fcf;FALSE;00°;0;1;0;1;1
a1bc5173-b872-4732-ae5c-00f33e828a61;TRUE;45°;8;0;0;0;8
2e32bb6a-cb04-4355-96ce-03b1a983ecef;FALSE;00°;0;0;0;0;0
f76d48ad-de19-4df1-8cc7-a75726e98a9e;FALSE;00°;0;0;0;0;0
4e6949e7-9205-4c85-badf-229d6cc96e81;FALSE;00°;0;0;0;0;0
aa51b5f9-d75a-4f16-b1d6-89f1f38f6afb;FALSE;90°;0;0;0;0;0
0a84f911-21ed-45f5-87d9-27c16d31439e;FALSE;90°;0;0;0;0;0
2ff8e510-5849-479b-8f39-46f84123abff;FALSE;00°;0;0;0;0;0
9bf07d07-3a48-4867-a8f6-662ecd038a7c;FALSE;00°;0;0;0;0;0
1034446f-092e-4df7-b79d-24c5c1bf6685;FALSE;00°;0;0;0;0;0
16f6d9a5-2fa6-43e7-838b-2698076278af;FALSE;00°;0;0;0;0;0
5cb2e832-768f-45b3-b50f-6e68cb9f9f29;TRUE;00°;35;0;0;0;35
724d0488-339b-4e91-aec3-fa58357224c9;TRUE;00°;0;0;0;0;0
d61f33f4-bf8a-4c8f-b90d-eb2ce3c978db;FALSE;45°;0;0;0;0;0
0f4dc010-451e-4e16-8689-8007c9dc5cb1;FALSE;00°;0;0;0;0;0
857080ab-eb23-4922-a4a7-0624bb13de62;TRUE;00°;0;0;0;0;0
6e713425-c180-44ca-ac54-6d057f274e96;TRUE;00°;0;0;0;0;0
e9e887dc-b23b-4d13-bc89-350b02a8a4cc;TRUE;00°;0;0;0;0;0
1785dee8-4d16-43e4-a5d4-65befc925df6;TRUE;00°;0;0;0;0;0
8d19c6f2-9c65-4747-b5e7-2984f5ed49a1;TRUE;00°;0;0;0;0;0
92457e18-241b-4725-8841-4627478ad06a;TRUE;00°;0;0;0;0;0
2155de65-a7ce-4a1d-974c-e3fe39bb628f;TRUE;00°;0;0;0;0;0
bf42390a-4fee-4364-900a-7a70c3e88818;TRUE;00°;0;0;0;0;0
890d061d-fbf1-4f4b-941b-2ea57e65131b;TRUE;00°;0;0;0;0;0
5451bfb7-9e34-4afa-8d94-c575abdffd8a;TRUE;45°;0;0;0;0;0
76c343e5-1829-446a-91e0-8a0bdfbce62a;TRUE;00°;0;0;0;0;0
da387f7b-5184-4d39-86a3-3cf918e67cdf;TRUE;00°;0;0;0;0;0
6615b3fe-46ca-4bb1-b3bd-38acdd8013b3;TRUE;00°;0;0;0;0;0
6cf272af-f2bc-4919-b0c5-ba55b972b9dc;TRUE;00°;0;0;0;0;0
173f08c5-6a91-4a80-a5ea-7c23b78adafa;TRUE;00°;0;0;0;0;0
f07649a7-b055-4a5f-9132-f938fe95cf62;TRUE;00°;0;4;0;4;4
9668f6d1-5e77-4bf5-8c15-461ef99b2691;TRUE;00°;121;0;0;0;121
c7ef29a7-5e4e-4346-ba2f-a33d796ce2bc;TRUE;00°;62;0;0;0;62
7d05f02e-195a-4e96-a600-550da0e936bb;TRUE;00°;0;0;0;0;0
fd165451-471e-49c3-9933-e91b94f142bf;TRUE;00°;2;2;0;2;4
c37ce59e-47ce-4869-a78d-edf05f4465d7;TRUE;00°;0;0;0;0;0
a6454f46-2389-4636-9722-74c6bbeefe5b;TRUE;00°;0;0;0;0;0
36f53d3b-5b15-4fad-83ad-a6cf80cb67b4;TRUE;00°;0;0;0;0;0
76e7bd6e-21b7-4f91-9d05-c05a437e9786;TRUE;00°;0;0;0;0;0
2b3a871b-5a98-4d4c-823a-d5547738c135;TRUE;00°;0;0;0;0;0
