link Location Recorder Datum Jaar L00 L0 L1 L2 M1 M2 AM AV Totaal Totaal_Larven.All Totaal_Larven.CPUE Totaal_Juvenielen Totaal_Adulten
"Nijlen A3a-2017-06-02" "Nijlen A3a" "Pieter Liekens;Arbeider 1" 2017-06-02T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen A2-2017-06-02" "Nijlen A2" "Pieter Liekens;Arbeider 1" 2017-06-02T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 6-2017-05-31" "Scheps 6" Natuurwerk 2017-05-31T00:00:00Z 2017 NA 158 168 113 NA NA NA NA 439 439 439 0 0
"Scheps 8-2017-06-01" "Scheps 8" Natuurwerk 2017-06-01T00:00:00Z 2017 NA 2 NA NA NA NA NA NA 2 2 2 0 0
"Scheps 6-2017-06-01" "Scheps 6" Natuurwerk 2017-06-01T00:00:00Z 2017 2 43 62 44 NA NA NA NA 151 151 149 0 0
"Scheps 6-2017-06-02" "Scheps 6" Natuurwerk 2017-06-02T00:00:00Z 2017 2 85 114 45 NA NA NA NA 246 246 244 0 0
Natuurpuntpoel-2017-06-21 Natuurpuntpoel Natuurwerk 2017-06-21T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 1-2017-06-21" "Rechthoekigevijver 1" Natuurwerk 2017-06-21T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 2-2017-06-21" "Rechthoekigevijver 2" Natuurwerk 2017-06-21T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
Bospoel-2017-06-21 Bospoel Natuurwerk 2017-06-21T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 1-2017-06-21" "Arendonk 1" Natuurwerk 2017-06-21T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2017-06-21" "Arendonk 2" Natuurwerk 2017-06-21T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 4-2017-06-22" "Arendonk 4" Natuurwerk 2017-06-22T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2b-2017-06-22" "Arendonk 2b" Natuurwerk 2017-06-22T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 3-2017-06-22" "Arendonk 3" Natuurwerk 2017-06-22T00:00:00Z 2017 7 NA NA NA NA NA NA NA 7 7 0 0 0
"Arendonk 3-2017-06-28" "Arendonk 3" Natuurwerk 2017-06-28T00:00:00Z 2017 101 NA 35 NA NA NA 1 2 139 136 35 0 3
"Kasterlee 14-2017-06-23" "Kasterlee 14" Natuurwerk 2017-06-23T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 9-2017-06-23" "Kasterlee 9" Natuurwerk 2017-06-23T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2017-06-23" "Kasterlee 7" Natuurwerk 2017-06-23T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2017-06-23" "Kasterlee 3" Natuurwerk 2017-06-23T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 1-2017-06-23" "Kasterlee 1" Natuurwerk 2017-06-23T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2017-06-28" "Kasterlee 2" Natuurwerk 2017-06-28T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 12-2017-06-28" "Kasterlee 12" Natuurwerk 2017-06-28T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 9-2017-04-28" "Scheps 9" Natuurwerk 2017-04-28T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 8-2017-04-28" "Scheps 8" Natuurwerk 2017-04-28T00:00:00Z 2017 NA NA 7 NA NA NA NA NA 7 7 7 0 0
"Scheps 9-2017-05-17" "Scheps 9" Natuurwerk 2017-05-17T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 7-2017-05-17" "Scheps 7" Natuurwerk 2017-05-17T00:00:00Z 2017 NA NA 1 NA NA NA NA NA 1 1 1 0 0
